AÑO;CODIGO;DISTRITO;MUNICIPALIDAD;PROVINCIA;REGION;UBIGEO;AÑOS DE EDUCACION;CANON MINERO;ESPERANZA DE VIDA;IDH;INGRESO FAMILIAR;METODOS DE EXPLOTACION;POBLACION 18 AÑOS;POBLACION;TOTAL DE TRANSFERENCIAS
2004;01-300078;BAGUA GRANDE;  MUNICIPALIDAD PROVINCIAL DE UTCUBAMBA - BAGUA GRANDE;UTCUBAMBA;AMAZONAS;10701;6.52;45596.44;71.56;0.28;238.83;1.00;38.52;52869.00;45596.44
2004;06-300090;JANGAS;  MUNICIPALIDAD DISTRITAL DE JANGAS;HUARAZ;ANCASH;20106;4.87;989126.39;68.73;0.26;218.50;1.00;48.63;4224.00;989126.39
2004;01-300097;AIJA;  MUNICIPALIDAD PROVINCIAL DE AIJA;AIJA;ANCASH;20201;8.32;72529.14;68.41;0.31;248.72;1.00;51.91;2251.00;72529.14
2004;08-300117;HUALLANCA;  MUNICIPALIDAD DISTRITAL DE HUALLANCA;BOLOGNESI;ANCASH;20508;7.50;247424.71;70.31;0.29;250.77;1.00;36.00;8279.00;247424.71
2004;07-300131;PARIAHUANCA;  MUNICIPALIDAD DISTRITAL DE PARIAHUANCA;CARHUAZ;ANCASH;20607;4.93;461336.95;67.50;0.26;240.84;1.00;36.86;1520.00;461336.95
2004;07-300156;HUACHIS;  MUNICIPALIDAD DISTRITAL DE HUACHIS;HUARI;ANCASH;21007;4.01;173674.41;67.19;0.22;183.27;1.00;41.96;4118.00;173674.41
2004;14-300163;SAN MARCOS;  MUNICIPALIDAD DISTRITAL DE SAN MARCOS;HUARI;ANCASH;21014;7.06;337483.05;69.30;0.27;218.68;1.00;33.91;13079.50;337483.05
2004;03-300281;HUAQUIRCA;  MUNICIPALIDAD DISTRITAL DE HUAQUIRCA;ANTABAMBA;APURIMAC;30303;5.52;2510.56;62.66;0.18;159.51;1.00;14.46;1623.50;2510.56
2004;06-300308;CHALLHUAHUACHO;  MUNICIPALIDAD DISTRITAL DE CHALLHUAHUACHO;COTABAMBAS;APURIMAC;30506;4.38;7818.85;66.93;0.18;141.19;1.00;22.32;6447.50;7818.85
2004;19-300349;SAN JUAN DE TARUCANI;  MUNICIPALIDAD DISTRITAL DE SAN JUAN DE TARUCANI;AREQUIPA;AREQUIPA;40119;5.04;35110.31;70.22;0.29;297.65;1.00;44.83;2180.00;35110.31
