AÑO;CODIGO;DISTRITO;MUNICIPALIDAD;PROVINCIA;REGION;UBIGEO;AÑOS DE EDUCACION;CANON MINERO;ESPERANZA DE VIDA;FUNDICION;IDH;INGRESO FAMILIAR;MINERIA NO METALICA;MINERIA SUBTERRANEA;POBLACION 18 AÑOS;POBLACION;REFINERIA;TOTAL DE TRANSFERENCIAS
2004;01-300078;BAGUA GRANDE;  MUNICIPALIDAD PROVINCIAL DE UTCUBAMBA - BAGUA GRANDE;UTCUBAMBA;AMAZONAS;010701;6.518760008;45596.44;71.56172893;;0.283254174;238.8299224;1;;38.51505969;52869;;45596.44
2004;01-300097;AIJA;  MUNICIPALIDAD PROVINCIAL DE AIJA;AIJA;ANCASH;020201;8.323634955;72529.14;68.41385328;;0.312009544;248.7213953;;1;51.90864237;2251;;72529.14
2004;08-300117;HUALLANCA;  MUNICIPALIDAD DISTRITAL DE HUALLANCA;BOLOGNESI;ANCASH;020508;7.499865325;247424.71;70.3096278;;0.292536877;250.7720866;;1;36.00398414;8279;;247424.71
2004;07-300131;PARIAHUANCA;  MUNICIPALIDAD DISTRITAL DE PARIAHUANCA;CARHUAZ;ANCASH;020607;4.929944782;461336.95;67.49977755;;0.25596235;240.8425149;1;;36.85769916;1520;;461336.95
2004;07-300156;HUACHIS;  MUNICIPALIDAD DISTRITAL DE HUACHIS;HUARI;ANCASH;021007;4.013146354;173674.41;67.192004;;0.217565995;183.2739834;;1;41.96496024;4118;;173674.41
2004;19-300349;SAN JUAN DE TARUCANI;  MUNICIPALIDAD DISTRITAL DE SAN JUAN DE TARUCANI;AREQUIPA;AREQUIPA;040119;5.043854958;35110.31;70.22013875;;0.292199107;297.6489134;1;;44.83119864;2180;;35110.31
2004;24-300354;UCHUMAYO;  MUNICIPALIDAD DISTRITAL DE UCHUMAYO;AREQUIPA;AREQUIPA;040124;10.21604216;123568.22;72.01257313;;0.441244842;430.4058815;1;;78.87886866;9654;;123568.22
2004;28-300358;YURA;  MUNICIPALIDAD DISTRITAL DE YURA;AREQUIPA;AREQUIPA;040128;7.832365933;158526.19;71.9565851;;0.383302157;333.2572927;1;;83.3678034;12984;;158526.19
2004;07-300366;QUILCA;  MUNICIPALIDAD DISTRITAL DE QUILCA;CAMANA;AREQUIPA;040207;7.655028164;19334.83;71.2228009;;0.389490065;381.3060289;1;;72.75118007;1043;;19334.83
2004;08-300375;CHAPARRA;  MUNICIPALIDAD DISTRITAL DE CHAPARRA;CARAVELI;AREQUIPA;040308;9.006339472;118837.44;71.38272675;;0.374094058;358.1551801;;1;53.09996325;2876.5;;118837.44
2004;09-300376;HUANUHUANU;  MUNICIPALIDAD DISTRITAL DE HUANUHUANU;CARAVELI;AREQUIPA;040309;7.812193106;133846.39;69.29290198;;0.340725792;298.9652941;;1;62.07780109;2294;;133846.39
2004;09-300389;ORCOPAMPA;  MUNICIPALIDAD DISTRITAL DE ORCOPAMPA;CASTILLA;AREQUIPA;040409;8.910435881;646269.06;69.67608195;;0.358290518;351.6109576;;1;46.38193363;7676;;646269.06
2004;04-300398;CALLALLI;  MUNICIPALIDAD DISTRITAL DE CALLALLI;CAYLLOMA;AREQUIPA;040504;5.875495366;50665.16;67.78961679;;0.320841723;308.2410503;1;;64.79325672;2882.5;;50665.16
